<ACTIGRAPH ID=32344>
"PAXSTAT"	"PAXCAL"	"PAXDAY"	"PAXN"	"PAXHOUR"	"PAXMINUT"	"PAXINTEN"	"PAXSTEP"
1	1	1	1	0	0	0	0
1	1	1	2	0	1	0	0
1	1	1	3	0	2	0	0
1	1	1	4	0	3	0	0
1	1	1	5	0	4	0	0
1	1	1	6	0	5	0	0
1	1	1	7	0	6	0	0
1	1	1	8	0	7	0	0
1	1	1	9	0	8	0	0
1	1	1	10	0	9	0	0
1	1	1	11	0	10	0	0
1	1	1	12	0	11	0	0
1	1	1	13	0	12	0	0
1	1	1	14	0	13	0	0
1	1	1	15	0	14	0	0
1	1	1	16	0	15	0	0
1	1	1	17	0	16	0	0
1	1	1	18	0	17	0	0
1	1	1	19	0	18	0	0
1	1	1	20	0	19	0	0
1	1	1	21	0	20	0	0
1	1	1	22	0	21	0	0
1	1	1	23	0	22	0	0
1	1	1	24	0	23	0	0
1	1	1	25	0	24	0	0
1	1	1	26	0	25	0	0
1	1	1	27	0	26	0	0
1	1	1	28	0	27	0	0
1	1	1	29	0	28	0	0
1	1	1	30	0	29	0	0
1	1	1	31	0	30	0	0
1	1	1	32	0	31	0	0
1	1	1	33	0	32	0	0
1	1	1	34	0	33	0	0
1	1	1	35	0	34	0	0
1	1	1	36	0	35	0	0
1	1	1	37	0	36	0	0
1	1	1	38	0	37	0	0
1	1	1	39	0	38	0	0
1	1	1	40	0	39	0	0
1	1	1	41	0	40	0	0
1	1	1	42	0	41	0	0
1	1	1	43	0	42	0	0
1	1	1	44	0	43	0	0
1	1	1	45	0	44	0	0
1	1	1	46	0	45	0	0
1	1	1	47	0	46	0	0
1	1	1	48	0	47	0	0
1	1	1	49	0	48	0	0
1	1	1	50	0	49	0	0
1	1	1	51	0	50	0	0
1	1	1	52	0	51	0	0
1	1	1	53	0	52	0	0
1	1	1	54	0	53	0	0
1	1	1	55	0	54	0	0
1	1	1	56	0	55	0	0
1	1	1	57	0	56	0	0
1	1	1	58	0	57	0	0
1	1	1	59	0	58	0	0
1	1	1	60	0	59	0	0
1	1	1	61	1	0	0	0
1	1	1	62	1	1	0	0
1	1	1	63	1	2	0	0
1	1	1	64	1	3	0	0
1	1	1	65	1	4	0	0
1	1	1	66	1	5	0	0
1	1	1	67	1	6	0	0
1	1	1	68	1	7	0	0
1	1	1	69	1	8	0	0
1	1	1	70	1	9	0	0
1	1	1	71	1	10	0	0
1	1	1	72	1	11	0	0
1	1	1	73	1	12	0	0
1	1	1	74	1	13	0	0
1	1	1	75	1	14	0	0
1	1	1	76	1	15	0	0
1	1	1	77	1	16	0	0
1	1	1	78	1	17	0	0
1	1	1	79	1	18	0	0
1	1	1	80	1	19	0	0
1	1	1	81	1	20	0	0
1	1	1	82	1	21	0	0
1	1	1	83	1	22	0	0
1	1	1	84	1	23	0	0
1	1	1	85	1	24	0	0
1	1	1	86	1	25	0	0
1	1	1	87	1	26	0	0
1	1	1	88	1	27	0	0
1	1	1	89	1	28	0	0
1	1	1	90	1	29	0	0
1	1	1	91	1	30	0	0
1	1	1	92	1	31	0	0
1	1	1	93	1	32	0	0
1	1	1	94	1	33	0	0
1	1	1	95	1	34	0	0
1	1	1	96	1	35	0	0
1	1	1	97	1	36	0	0
1	1	1	98	1	37	0	0
1	1	1	99	1	38	0	0
1	1	1	100	1	39	0	0
1	1	1	101	1	40	0	0
1	1	1	102	1	41	0	0
1	1	1	103	1	42	0	0
1	1	1	104	1	43	0	0
1	1	1	105	1	44	0	0
1	1	1	106	1	45	0	0
1	1	1	107	1	46	0	0
1	1	1	108	1	47	0	0
1	1	1	109	1	48	0	0
1	1	1	110	1	49	0	0
1	1	1	111	1	50	0	0
1	1	1	112	1	51	0	0
1	1	1	113	1	52	0	0
1	1	1	114	1	53	0	0
1	1	1	115	1	54	0	0
1	1	1	116	1	55	0	0
1	1	1	117	1	56	0	0
1	1	1	118	1	57	0	0
1	1	1	119	1	58	0	0
1	1	1	120	1	59	0	0
1	1	1	121	2	0	0	0
1	1	1	122	2	1	0	0
1	1	1	123	2	2	0	0
1	1	1	124	2	3	0	0
1	1	1	125	2	4	0	0
1	1	1	126	2	5	0	0
1	1	1	127	2	6	0	0
1	1	1	128	2	7	0	0
1	1	1	129	2	8	0	0
1	1	1	130	2	9	0	0
1	1	1	131	2	10	0	0
1	1	1	132	2	11	0	0
1	1	1	133	2	12	0	0
1	1	1	134	2	13	0	0
1	1	1	135	2	14	0	0
1	1	1	136	2	15	0	0
1	1	1	137	2	16	0	0
1	1	1	138	2	17	0	0
1	1	1	139	2	18	0	0
1	1	1	140	2	19	0	0
1	1	1	141	2	20	0	0
1	1	1	142	2	21	0	0
1	1	1	143	2	22	0	0
1	1	1	144	2	23	0	0
1	1	1	145	2	24	0	0
1	1	1	146	2	25	0	0
1	1	1	147	2	26	0	0
1	1	1	148	2	27	0	0
1	1	1	149	2	28	0	0
1	1	1	150	2	29	0	0
1	1	1	151	2	30	0	0
1	1	1	152	2	31	0	0
1	1	1	153	2	32	0	0
1	1	1	154	2	33	0	0
1	1	1	155	2	34	0	0
1	1	1	156	2	35	0	0
1	1	1	157	2	36	0	0
1	1	1	158	2	37	0	0
1	1	1	159	2	38	0	0
1	1	1	160	2	39	0	0
1	1	1	161	2	40	0	0
1	1	1	162	2	41	0	0
1	1	1	163	2	42	0	0
1	1	1	164	2	43	0	0
1	1	1	165	2	44	0	0
1	1	1	166	2	45	0	0
1	1	1	167	2	46	0	0
1	1	1	168	2	47	0	0
1	1	1	169	2	48	0	0
1	1	1	170	2	49	0	0
1	1	1	171	2	50	0	0
1	1	1	172	2	51	0	0
1	1	1	173	2	52	0	0
1	1	1	174	2	53	0	0
1	1	1	175	2	54	0	0
1	1	1	176	2	55	0	0
1	1	1	177	2	56	0	0
1	1	1	178	2	57	0	0
1	1	1	179	2	58	0	0
1	1	1	180	2	59	0	0
1	1	1	181	3	0	0	0
1	1	1	182	3	1	0	0
1	1	1	183	3	2	0	0
1	1	1	184	3	3	0	0
1	1	1	185	3	4	0	0
1	1	1	186	3	5	0	0
1	1	1	187	3	6	0	0
1	1	1	188	3	7	0	0
1	1	1	189	3	8	0	0
1	1	1	190	3	9	0	0
1	1	1	191	3	10	0	0
1	1	1	192	3	11	0	0
1	1	1	193	3	12	0	0
1	1	1	194	3	13	0	0
1	1	1	195	3	14	0	0
1	1	1	196	3	15	0	0
1	1	1	197	3	16	0	0
1	1	1	198	3	17	0	0
1	1	1	199	3	18	0	0
